query_id,task,max_score,score_gap,judgment
0,biology,0.7507972980557007,0.01941423538352649,INCORRECT
aops_2019_AMC_12A_Problems/Problem_17,aops,0.8704520795753049,0.02563309630934496,INCORRECT
0,earth_science,0.85116435203023,0.06453384231080916,CORRECT
0,economics,0.7810673751035448,0.01918430589245479,INCORRECT
0,leetcode,0.9014739414864772,0.10855524996901367,INCORRECT
0,pony,0.8694251656580656,0.08388830184562168,INCORRECT
0,psychology,0.7795573135414287,0.02043174554116467,INCORRECT
0,robotics,0.833732430858625,0.015159119416444322,CORRECT
0,stackoverflow,0.8546161118859793,0.008595134479111644,CORRECT
0,sustainable_living,0.7878899352043246,0.01605357143578645,INCORRECT
TheoremQA_elainewan/math_calculus_5_2.json,theoremqa_questions,0.7872946200706833,0.013951552815693713,INCORRECT
TheoremQA_jianyu_xu/pigeonhole_3.json,theoremqa_theorems,0.7962259120921413,0.07839279072977778,INCORRECT
