retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
qwen2,biology,4,59.10618209838867,6.403816223144531,14.181373596191406,1,1,CORRECT
qwen2,biology,1,62.80873489379883,9.3397216796875,18.583614349365234,1,1,CORRECT
qwen2,biology,5,58.28129196166992,4.645332336425781,13.552719116210938,1,1,CORRECT
qwen2,biology,12,50.61054229736328,2.7598800659179688,6.362159729003906,0,1,CORRECT
qwen2,biology,11,64.15177154541016,11.351425170898438,16.64883804321289,1,1,CORRECT
qwen2,biology,8,55.650699615478516,13.653614044189453,15.61190414428711,0,1,INCORRECT
qwen2,biology,0,46.6771354675293,6.344551086425781,11.471954345703125,1,1,INCORRECT
qwen2,biology,7,68.94223022460938,7.647304534912109,32.10957717895508,1,1,CORRECT
qwen2,biology,2,49.85215377807617,2.9657325744628906,7.626827239990234,1,1,CORRECT
qwen2,biology,6,52.56688690185547,2.2042694091796875,7.621925354003906,1,1,CORRECT
qwen2,biology,10,57.31330108642578,13.977928161621094,16.85367202758789,1,1,CORRECT
qwen2,biology,9,54.02423095703125,1.1798553466796875,4.908058166503906,0,0,CORRECT
qwen2,biology,14,55.89387893676758,1.949554443359375,9.908222198486328,1,1,CORRECT
qwen2,biology,3,58.30118179321289,14.796245574951172,19.37908172607422,1,1,CORRECT
qwen2,biology,15,49.02305603027344,3.5166053771972656,6.98504638671875,0,1,INCORRECT
qwen2,biology,13,48.85961151123047,4.411323547363281,9.891700744628906,1,1,CORRECT
qwen2,biology,23,51.11433410644531,5.407833099365234,10.770259857177734,0,0,CORRECT
qwen2,biology,16,57.98139572143555,5.847637176513672,11.189632415771484,0,0,INCORRECT
qwen2,biology,27,53.94905090332031,9.008659362792969,13.66339111328125,1,1,INCORRECT
qwen2,biology,17,54.41709899902344,3.9877777099609375,9.992279052734375,1,1,CORRECT
qwen2,biology,22,57.15776824951172,14.180904388427734,20.662311553955078,1,1,CORRECT
qwen2,biology,19,70.57351684570312,10.292293548583984,18.911846160888672,1,1,CORRECT
qwen2,biology,21,68.48719787597656,8.047618865966797,26.600833892822266,1,1,CORRECT
qwen2,biology,18,44.659610748291016,1.9549713134765625,5.162113189697266,1,1,CORRECT
