query_id,task,max_score,score_gap,judgment
0,biology,0.7507972980557007,0.01941423538352649,INCORRECT
1,biology,0.7585552283469447,0.01640749489421711,INCORRECT
2,biology,0.7731169770756583,0.01286022373260054,CORRECT
3,biology,0.8139857873720233,0.06911431812416635,CORRECT
4,biology,0.7564884534663957,0.01737421540442341,CORRECT
5,biology,0.8327434630350421,0.06782821470765876,CORRECT
6,biology,0.7559204887939226,0.0178373233874366,INCORRECT
7,biology,0.8472357663561217,0.026605977465574138,CORRECT
8,biology,0.7808930427257805,0.03314106096956515,CORRECT
9,biology,0.8299648516445125,0.002154711360538908,INCORRECT
10,biology,0.8269483139549283,0.06989006439648682,CORRECT
11,biology,0.7706514418503032,0.04399977566510371,CORRECT
12,biology,0.7965503460736587,0.012210590459668436,INCORRECT
13,biology,0.8175486818367994,0.021966246326433514,INCORRECT
14,biology,0.8428531187151105,0.04079180218603873,INCORRECT
15,biology,0.7665752155272847,0.016145410674903715,CORRECT
16,biology,0.7305571883290928,0.015873970692549477,INCORRECT
17,biology,0.7528375219496483,0.04061940844645617,INCORRECT
18,biology,0.7749982810204006,0.007327095624675706,INCORRECT
19,biology,0.8103038474862946,0.03256967010066647,INCORRECT
20,biology,0.7871754758523898,0.03254039901998751,CORRECT
21,biology,0.8202276659321256,0.03038497321049949,CORRECT
22,biology,0.7836895511790649,0.02321391117339555,CORRECT
23,biology,0.7409268666919439,0.011350373639973932,CORRECT
24,biology,0.817770078854862,0.06569019218382255,INCORRECT
25,biology,0.7990058634408952,0.018685880982336034,INCORRECT
26,biology,0.7174844815912775,0.008512234648867412,INCORRECT
27,biology,0.7288770114890187,0.02650916228896094,INCORRECT
28,biology,0.827027131063452,0.05688697183418612,INCORRECT
29,biology,0.864896134315989,0.03891110739333126,CORRECT
30,biology,0.8253646232854852,0.06676828535311663,INCORRECT
31,biology,0.8212341879001122,0.025846022910498756,CORRECT
32,biology,0.7330831399987349,0.02343618125620428,INCORRECT
33,biology,0.7658728685275775,0.02630407922228295,INCORRECT
34,biology,0.7682718385457791,0.012006589124043066,INCORRECT
35,biology,0.8345283206840601,0.02709606662025843,INCORRECT
36,biology,0.7943848875521373,0.035161092282438466,CORRECT
